[INFO] [1788194734.249060650] [waypoint_executor]: Loading mission: /home/bishal/ros2_ws/install/mission_formalism_evaluation/share/mission_formalism_evaluation/missions/mission_3.yaml
[INFO] [1788194734.266102817] [waypoint_executor]: Mission ID: M3
[INFO] [1788194734.309601563] [waypoint_executor]: [71/102] NAVIGATE -> WP70
[INFO] [1788194734.310494675] [waypoint_executor]: [72/102] NAVIGATE -> WP71
[INFO] [1788194734.310977689] [waypoint_executor]: [73/102] NAVIGATE -> WP72
[INFO] [1788194734.311578794] [waypoint_executor]: [74/102] NAVIGATE -> WP73
[INFO] [1788194734.312415536] [waypoint_executor]: [75/102] NAVIGATE -> WP74
[INFO] [1788194734.312897621] [waypoint_executor]: [76/102] NAVIGATE -> WP75
[INFO] [1788194734.313344743] [waypoint_executor]: [77/102] NAVIGATE -> WP76
[INFO] [1788194734.313792287] [waypoint_executor]: [78/102] NAVIGATE -> WP77
[INFO] [1788194734.314232705] [waypoint_executor]: [79/102] NAVIGATE -> WP78
[INFO] [1788194734.314711856] [waypoint_executor]: [80/102] NAVIGATE -> WP79
[INFO] [1788194734.315141842] [waypoint_executor]: [81/102] NAVIGATE -> WP80
[INFO] [1788194734.315661456] [waypoint_executor]: [82/102] NAVIGATE -> WP81
[INFO] [1788194734.316098718] [waypoint_executor]: [83/102] NAVIGATE -> WP82
[INFO] [1788194734.316637295] [waypoint_executor]: [84/102] NAVIGATE -> WP83
[INFO] [1788194734.317073158] [waypoint_executor]: [85/102] NAVIGATE -> WP84
[INFO] [1788194734.317523321] [waypoint_executor]: [86/102] NAVIGATE -> WP85
[INFO] [1788194734.317961440] [waypoint_executor]: [87/102] NAVIGATE -> WP86
[INFO] [1788194734.318393779] [waypoint_executor]: [88/102] NAVIGATE -> WP87
[INFO] [1788194734.318980184] [waypoint_executor]: [89/102] NAVIGATE -> WP88
[INFO] [1788194734.319448308] [waypoint_executor]: [90/102] NAVIGATE -> WP89
[INFO] [1788194734.319888447] [waypoint_executor]: [91/102] NAVIGATE -> WP90
[INFO] [1788194734.320323778] [waypoint_executor]: [92/102] NAVIGATE -> WP91
[INFO] [1788194734.320766799] [waypoint_executor]: [93/102] NAVIGATE -> WP92
[INFO] [1788194734.321202277] [waypoint_executor]: [94/102] NAVIGATE -> WP93
[INFO] [1788194734.321693625] [waypoint_executor]: [95/102] NAVIGATE -> WP94
[INFO] [1788194734.322421727] [waypoint_executor]: [96/102] NAVIGATE -> WP95
[INFO] [1788194734.323133297] [waypoint_executor]: [97/102] NAVIGATE -> WP96
[INFO] [1788194734.323955332] [waypoint_executor]: [98/102] NAVIGATE -> WP97
[INFO] [1788194734.325110679] [waypoint_executor]: [99/102] NAVIGATE -> WP98
[INFO] [1788194734.325968091] [waypoint_executor]: [100/102] NAVIGATE -> WP99
[INFO] [1788194734.326868521] [waypoint_executor]: [101/102] NAVIGATE -> WP100
[INFO] [1788194734.327816667] [waypoint_executor]: [102/102] LAND
[INFO] [1788194734.328813417] [waypoint_executor]: Mission completed.
