[INFO] [1788006914.462122614] [htn_executor]: Loading mission: /home/bishal/ros2_ws/install/mission_formalism_evaluation/share/mission_formalism_evaluation/missions/mission_3.yaml
[INFO] [1788006914.638871832] [htn_executor]: ================================
[INFO] [1788006914.639788446] [htn_executor]: HTN Mission Executor
[INFO] [1788006914.640899057] [htn_executor]: Mode: FINAL_SCENARIO_CAPABLE
[INFO] [1788006914.641611740] [htn_executor]: Model: Totally Ordered State-Based HTN
[INFO] [1788006914.642247984] [htn_executor]: Mission ID: M3
[INFO] [1788006914.642791499] [htn_executor]: Mission Name: Zigzag Navigation
[INFO] [1788006914.643414065] [htn_executor]: Mission Items: 102
[INFO] [1788006914.643970885] [htn_executor]: HTN Primitive Operators: 12
[INFO] [1788006914.644552363] [htn_executor]: HTN Compound Tasks: 4
[INFO] [1788006914.645203696] [htn_executor]: HTN Methods: 16
[INFO] [1788006914.645853151] [htn_executor]: Mission Method Applications: 104
[INFO] [1788006914.646914700] [htn_executor]: Generated Primitive Plan: 102
[INFO] [1788006914.648058865] [htn_executor]: ================================
[INFO] [1788006914.669543290] [htn_executor]: HTN PRIMITIVE RUNNING: takeoff
[INFO] [1788006914.670576025] [htn_executor]: HTN PRIMITIVE SUCCESS: takeoff
[INFO] [1788006914.689089566] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP1]
[INFO] [1788006914.690056869] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP1]
[INFO] [1788006914.710573302] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP2]
[INFO] [1788006914.712500883] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP2]
[INFO] [1788006914.730209426] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP3]
[INFO] [1788006914.732081567] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP3]
[INFO] [1788006914.749623786] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP4]
[INFO] [1788006914.750944330] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP4]
[INFO] [1788006914.770627888] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP5]
[INFO] [1788006914.772155943] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP5]
[INFO] [1788006914.790693097] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP6]
[INFO] [1788006914.793139034] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP6]
[INFO] [1788006914.809618660] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP7]
[INFO] [1788006914.811094984] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP7]
[INFO] [1788006914.829282784] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP8]
[INFO] [1788006914.830375439] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP8]
[INFO] [1788006914.849171981] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP9]
[INFO] [1788006914.849997658] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP9]
[INFO] [1788006914.869387507] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP10]
[INFO] [1788006914.870454454] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP10]
[INFO] [1788006914.889379047] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP11]
[INFO] [1788006914.890737961] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP11]
[INFO] [1788006914.909160398] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP12]
[INFO] [1788006914.909962454] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP12]
[INFO] [1788006914.929114721] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP13]
[INFO] [1788006914.930049585] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP13]
[INFO] [1788006914.949200447] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP14]
[INFO] [1788006914.950624059] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP14]
[INFO] [1788006914.969707582] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP15]
[INFO] [1788006914.970911231] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP15]
[INFO] [1788006914.989289878] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP16]
[INFO] [1788006914.990815543] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP16]
[INFO] [1788006915.009669460] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP17]
[INFO] [1788006915.011195050] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP17]
[INFO] [1788006915.029124881] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP18]
[INFO] [1788006915.030517205] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP18]
[INFO] [1788006915.049184776] [htn_executor]: HTN PRIMITIVE RUNNING: navigate [WP19]
[INFO] [1788006915.050635079] [htn_executor]: HTN PRIMITIVE SUCCESS: navigate [WP19]
